track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
7anSoGdgtmJTAPZBzcPhO6,Cuaderno,Dalex,83,6stPNzjz40FWTiwlOR98Lp,Climaxxx,2019-05-10,Urbano: Latino Vibes,0VsVywryrqLhHmsVFVcOAg,latin,latin hip hop,0.681,0.648,1,-5.021,0,0.38,0.524,0.0,0.104,0.687,172.019,286507
4VvzR8gK84DSY70rpIx59p,Almost Human,KISS,0,462gV7cwQDqVtMYaxZSslv,IKONS,2008-10-21,70s Hard Rock,6pZlZ20vt3aDjIKw98aBtQ,rock,hard rock,0.275,0.963,1,-5.98,1,0.0931,0.00763,0.00151,0.301,0.611,184.451,169027
4abm3RbYBcQlrxdV1ObjUj,Waste A Moment,Kings of Leon,22,12zXyBEny4zEXixW4Qazpz,Waste A Moment,2016-09-09,A Loose Definition of Indie Poptimism,4ZO0wp9G8FA3X6oYNBzda6,pop,indie poptimism,0.436,0.85,2,-4.86,1,0.0617,0.000861,0.74,0.128,0.537,152.644,183093
1OnbbH3s2c77QYqjmJugQh,Hublot,18 Karat,38,1I8rq135v4Lh1uHK9NJaE9,Geld Gold Gras (Deluxe Edition),2018-03-09,Gangster Rap Deutsch,1qXg9ck25tBRxeXsj8mbDG,rap,gangster rap,0.773,0.813,2,-4.246,1,0.349,0.0527,0.0,0.285,0.321,117.288,211027
51w9Jbat1pLeWINGCpnQUR,TAlk tO Me (with Rich The Kid feat. Lil Wayne) - Remix,Tory Lanez,73,5gj88AvRakDbbIUtC7cDzZ,TAlk tO Me (with Rich The Kid feat. Lil Wayne) [Remix],2018-11-27,Hip-Hop Favourites,37i9dQZF1DX48TTZL62Yht,rap,hip hop,0.698,0.66,0,-7.883,1,0.052,0.0226,0.0,0.0622,0.451,159.949,248521
4QfrbKEYdcnsprpRg0VYQP,Atypical,Manila Killa,35,1ja2Hj0eg6I18sDx4SzK5G,1993,2019-02-22,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,pop,indie poptimism,0.751,0.775,11,-3.869,0,0.0777,0.174,4.24e-05,0.143,0.373,115.99,178865
2JK8HVAU1Jyd8BWNMGc76A,Ben 10,ONEFOUR,60,21cfBepyWBaZYYNXRTphXB,Ben 10,2019-10-11,A1 Hip-Hop,37i9dQZF1DX0sDai2F5jCQ,rap,hip hop,0.844,0.705,1,-7.604,1,0.235,0.135,0.0,0.151,0.569,144.065,218315
3Ey11v2aiX14s4wBaYbhlp,Don't Waste My Time (feat. Ella Mai),Usher,73,2veUi52T9SqSvwXJYd5aIT,Don't Waste My Time (feat. Ella Mai),2019-12-13,Contemporary Urban,6wyJ4bsjZaUKa9f6GeZlAO,r&b,urban contemporary,0.701,0.778,2,-5.076,1,0.201,0.125,0.0,0.0828,0.609,99.956,199720
3rnBqIIoxOpQ0p9BeW3NT4,Back To Life,DubVision,64,3rGqjZffcRugSmPnCZ5SGe,Back To Life,2019-08-16,EDM 2019,1T0ed6Mg0QIruHvcoWWIKy,edm,pop edm,0.554,0.864,2,-4.403,1,0.0889,0.00166,0.0,0.119,0.305,126.975,201260
385Urz8Qa8CIcK9tl3SA8g,Great King Rat - Remastered 2011,Queen,37,1kkb8xlG9yssEVsWKiEtAB,Queen (2011 Remaster),1973-07-13,The Queen - La Discografia Completa,3E88dLx4fgFYY70gdGzdnB,rock,album rock,0.35,0.845,4,-12.339,0,0.2,0.0424,0.000622,0.111,0.421,135.252,342880
5Jjuv7uNuTbgzj8dl6DeXG,Sugar Don't Be Sweet,Jaz Karis,39,5tjfPQFjy0aFPqXBeZemaj,Into the Wilderness,2017-10-18,Neo-Jazz Soul RnB & Afro,48AzM7l4M02DBYd2N3IFLP,r&b,neo soul,0.503,0.275,11,-12.397,1,0.0473,0.815,0.0,0.0992,0.682,99.984,145439
6gk2V87atn7XaaAltdYsKd,Dance Tonight,Lucy Pearl,1,2RXWDBybggTGmdqFyYdRfZ,Lucy Pearl,2000,R&B 80's/90's/00's,2Ey63yNQeC9Yto7JwX9BGJ,r&b,new jack swing,0.783,0.418,1,-5.801,1,0.0659,0.00564,0.00205,0.177,0.674,99.234,221267
4D7ERaKgv8NAeck8RzUtRz,Younger,Jonas Blue,76,26IuzA897QHyOQVYBWXtTD,Younger,2019-09-06,POPTIMISM,6lWMi4lPiiPwDqn8ZpeyAY,pop,indie poptimism,0.784,0.845,3,-2.793,1,0.0596,0.286,1.59e-05,0.074,0.888,105.981,194721
3rMu51ZwOmmpHaHXXngJZ0,Alone with You,Y.V.E. 48,53,38Jyzxxtsm5XIp3skoPWY8,Alone with You,2019-08-16,Tropical House 2020,2oivDYqm1dQK4KbwVJTaf6,latin,tropical,0.655,0.529,5,-11.141,0,0.0344,0.267,0.242,0.105,0.307,104.982,153143
2DJFNq3kEgMh9lvttNYABX,Police man,St. Viper,35,53e47Tht8Y24E1VC4QldVm,Zaraze,2008-01-01,Nidza Bleja - English HIP HOP/POP Songs,5XQopnmKZnE6RjR6NIzbPS,r&b,hip pop,0.895,0.84,5,-3.646,1,0.248,0.375,0.0,0.0801,0.847,99.982,166844
4TtxmfeohehULwapPlFTFt,Thunderstruck,Cirez D,0,4ieYe7UuPNOvb34IsgpasJ,Thunderstuck / Drums In The Deep,2013-11-24,Underground Party | Hypnotic | Minimal | Acid | Big Room | Tech | Liquid,29jj7pQlDqnWclbHQk21Rq,edm,progressive electro house,0.74,0.994,6,-6.182,0,0.0742,0.000178,0.656,0.378,0.137,127.0,492006
0TgsWy0Fh6sL90mcG06pVg,My Sidepiece (feat. Pokey & Major Clark Jr.),The Louisiana Blues Brothas,0,1NkdivR3sStJWNEUaqQFEW,Love On the Bayou,2014-07-02,Southern Soul BBQ Mix,3nTS97zUqxJBQeiXNRs963,rap,southern hip hop,0.675,0.733,5,-6.485,0,0.0328,0.225,0.0,0.193,0.757,96.017,281000
0afEXSeJYJJEhPSQonZtIe,Like It or Not,Ksenia,39,6Gnj93HiNe3JbUByKNtp6i,Like It or Not,2019-12-12,TUNES DANCE AND POP,3arpkhoRWXEYbdCpVAIrRR,pop,dance pop,0.762,0.525,11,-7.066,1,0.13,0.0374,0.000168,0.0944,0.632,166.021,179277
3aFoTYsFE6N4g7M7b362cp,Planeador,Soda Stereo,0,3bG1GHeybqiNtO96c85rS7,El Ultimo Concierto B,1997-12-16,Soda Stereo – El Ultimo Concierto,3opIxv3Y5GmXDNpbLFZxIm,rock,album rock,0.175,0.356,7,-10.809,1,0.0351,0.0934,0.491,0.66,0.173,128.706,265893
7D5k2vI0Kcp84Kso4acpKc,Si o No,Victor Muñoz,38,52UGd9av3ImgY2RaWsthut,Minutos (Edición de Oro),2009,MIX LATIN POP°,6IS6XTdbS9qJZgfjNKgpB8,latin,latin pop,0.75,0.948,5,-4.143,0,0.0459,0.315,0.0,0.0816,0.945,119.948,209947
1bL6fctRT13NffF2JHU5zQ,Hear You Me,Jimmy Eat World,2,4ZqTPNXU0MBXs2iCcwjOPe,Bleed American (Deluxe Edition),2001,keg party jukebox,4PjiT7SWnUsTTTvKOuR76f,rock,permanent wave,0.482,0.556,4,-6.33,1,0.0276,0.00976,0.0361,0.214,0.116,135.952,282960
0mke2MXjPsEipNCtDUu7m6,so sad,Mike Vallas,43,6MOHZZMaMEWITBc6ZNJwmD,so sad,2019-11-01,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,pop,electropop,0.401,0.308,6,-12.464,1,0.117,0.389,0.0057,0.143,0.205,147.314,169079
19BYIOXaBbcvnJYNWKRwqN,The Way I Loved You (RAC Mix),REYNA,31,5pUROCPDaLcp5Q1fJN86CR,The Way I Loved You (RAC Mix),2019-11-01,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.7,0.827,3,-4.822,1,0.0414,0.464,0.000211,0.66,0.546,113.981,185387
5VMka8joGxOn1R8NJkf3Cl,Keep Up,Akon,39,3ZpfQDwafNdaEUnbWVHIlM,Koncrete Vol. 1,2013-12-17,Pop 2009-2011,3gV6KQYZKIuoWml0094vx6,latin,latin hip hop,0.573,0.632,6,-3.408,0,0.073,0.493,0.0,0.433,0.474,173.968,214000
4OYOndzBbcjxfM3UPKmOIF,Mis Amigos Donde Estaran - Live,Miguel Rios,0,5fstCqs5NpIlF42VhPNv23,Rock & Rios (Remastered),2005-01-01,Rock and Rios,2gpKfzXEi8QWvgBNPDPk5R,rock,album rock,0.515,0.861,4,-9.112,0,0.0376,0.00741,6.72e-06,0.898,0.74,118.977,130600
